epoch,train_loss,train_acc,val_loss,val_acc,tgt_test_acc
1,0.12791,0.97012,0.05772,0.98578,0.985
2,0.04798,0.98718,0.04087,0.98867,0.9893
3,0.0315,0.99024,0.03406,0.98989,0.9916
4,0.02375,0.99276,0.03116,0.99056,0.9919
5,0.01889,0.99378,0.02891,0.99133,0.9919
6,0.0153,0.99518,0.02816,0.992,0.9931
7,0.01174,0.99635,0.02493,0.99278,0.993
8,0.01046,0.99655,0.02661,0.99222,0.9931
9,0.0082,0.99771,0.02391,0.99256,0.9935
10,0.0074,0.99802,0.0243,0.99256,0.9933
11,0.00708,0.998,0.02374,0.99267,0.9931
12,0.00547,0.99853,0.02398,0.99289,0.9936
13,0.0055,0.99859,0.02324,0.993,0.9932
14,0.00449,0.99902,0.02282,0.99289,0.9932
15,0.0044,0.99861,0.02306,0.993,0.9933
16,0.00402,0.99906,0.02327,0.99278,0.9934
17,0.0042,0.99892,0.02288,0.99278,0.9934
18,0.00337,0.9992,0.02269,0.99322,0.9936
19,0.00375,0.99882,0.02316,0.99333,0.9935
20,0.00364,0.99912,0.02296,0.99333,0.9937
