epoch,train_loss,train_acc,val_loss,val_acc,tgt_test_acc
1,0.53474,0.89692,0.12969,0.96756,0.9697
2,0.10994,0.96986,0.07659,0.97967,0.9812
3,0.06852,0.97943,0.05897,0.98411,0.985
4,0.04941,0.98457,0.04989,0.98556,0.9876
5,0.03724,0.98802,0.0454,0.98678,0.9886
6,0.02968,0.99075,0.04347,0.98789,0.989
7,0.02368,0.99247,0.03956,0.988,0.9905
8,0.01937,0.99398,0.03913,0.98856,0.9908
9,0.01591,0.99473,0.03735,0.98889,0.9903
10,0.01365,0.9959,0.03635,0.98978,0.991
11,0.01259,0.99604,0.03476,0.98978,0.9912
12,0.01047,0.99673,0.03386,0.98978,0.9911
13,0.00979,0.99688,0.03425,0.99044,0.9911
14,0.00874,0.99757,0.0342,0.99,0.9912
15,0.00786,0.99769,0.03259,0.99067,0.9916
16,0.00709,0.9982,0.03341,0.99044,0.9918
17,0.00664,0.99837,0.03328,0.99,0.9916
18,0.00645,0.99837,0.03328,0.99033,0.9917
19,0.00665,0.99839,0.03314,0.99044,0.9917
20,0.00628,0.99831,0.03367,0.99022,0.992
