epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.01319,0.00732,0.00587,0.9975,0.03989,0.99083,0.2679
2,0.01249,0.00842,0.00407,0.99744,0.03555,0.99017,0.2899
3,0.00799,0.00493,0.00306,0.99852,0.02782,0.99283,0.2859
4,0.00745,0.00495,0.0025,0.99846,0.02866,0.99133,0.2104
5,0.00634,0.00423,0.0021,0.99857,0.02777,0.99317,0.2688
6,0.00474,0.00291,0.00182,0.99915,0.03002,0.993,0.2614
7,0.0043,0.00269,0.00162,0.99926,0.03191,0.992,0.2765
8,0.00434,0.00291,0.00143,0.99926,0.03382,0.99233,0.2372
9,0.00368,0.00237,0.00131,0.99933,0.02247,0.99317,0.255
10,0.00246,0.00127,0.00118,0.99972,0.02488,0.9945,0.2622
11,0.0019,0.00083,0.00107,0.99987,0.02473,0.994,0.262
12,0.00156,0.0006,0.00096,0.99991,0.02588,0.99317,0.2707
13,0.00135,0.00048,0.00087,0.99996,0.02499,0.994,0.2606
14,0.00131,0.00052,0.00079,0.99989,0.02266,0.99383,0.2726
15,0.00106,0.00033,0.00073,0.99996,0.02062,0.99483,0.2732
16,0.00091,0.00024,0.00067,0.99998,0.02041,0.995,0.2696
17,0.00085,0.00022,0.00063,1.0,0.02178,0.99483,0.2616
18,0.00082,0.00021,0.00061,1.0,0.02147,0.99483,0.2696
19,0.00075,0.00017,0.00059,1.0,0.02159,0.995,0.2636
20,0.00079,0.0002,0.00058,1.0,0.02138,0.99467,0.2665
