epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.0141,0.00855,0.00556,0.99706,0.03239,0.99133,0.8904
2,0.01096,0.00698,0.00398,0.99778,0.02833,0.993,0.893
3,0.00891,0.00586,0.00305,0.99806,0.0277,0.99233,0.9104
4,0.00739,0.00487,0.00251,0.99848,0.02646,0.99283,0.8964
