epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.0141,0.00855,0.00556,0.99706,0.03239,0.99133,0.8904
2,0.01096,0.00698,0.00398,0.99778,0.02833,0.993,0.893
3,0.00891,0.00586,0.00305,0.99806,0.0277,0.99233,0.9104
4,0.00739,0.00487,0.00251,0.99848,0.02646,0.99283,0.8964
5,0.00641,0.00428,0.00213,0.99876,0.02699,0.9935,0.8923
6,0.00582,0.00396,0.00186,0.99885,0.02418,0.9945,0.8963
7,0.00422,0.00259,0.00163,0.99926,0.02121,0.99367,0.8889
8,0.00327,0.00183,0.00144,0.99956,0.02234,0.99533,0.9062
9,0.0036,0.00229,0.0013,0.99943,0.02682,0.99317,0.8936
10,0.00237,0.00119,0.00118,0.99974,0.02436,0.99467,0.9051
11,0.00218,0.0011,0.00108,0.99969,0.02356,0.9955,0.8958
12,0.00159,0.00062,0.00098,0.99991,0.02108,0.99533,0.8925
13,0.00145,0.00057,0.00088,0.99994,0.02072,0.995,0.8849
14,0.00113,0.00033,0.0008,0.99998,0.02055,0.99533,0.902
15,0.00118,0.00045,0.00073,0.99991,0.01994,0.99533,0.8973
16,0.001,0.0003,0.0007,1.0,0.01931,0.995,0.9049
17,0.00086,0.00021,0.00066,1.0,0.0205,0.99567,0.9035
18,0.00086,0.00023,0.00063,1.0,0.02098,0.9955,0.9061
19,0.00079,0.00018,0.00061,1.0,0.02105,0.9955,0.9043
20,0.00079,0.00019,0.00061,1.0,0.01998,0.99517,0.9069
